	Genotypen	Country	Treatment	GY	SY	TKW	SDW	SDL	STM	Tiller	Leaf
1	Line_1	Germany	Control	0.8	57	14	2.5	2.2	57.1	6	4
2	Line_2	Germany	Control	1.4	195	7.2	1.5	3.2	97.8	4	4
3	Line_3	Germany	Control	1.6	77	20.8	2.2	4.3	56.9	3	4
4	Line_4	Germany	Control	2	61	32.8	2.2	6.8	36.1	5	4
5	Line_5	Germany	Control	2.3	61	37.7	2.4	6.5	39.8	2	3
6	Line_6	Germany	Control	2.3	137	16.8	1.8	5.2	75.5	6	4
7	Line_7	Germany	Control	2.7	105	25.7	2.2	5.3	34	3	4
8	Line_8	Germany	Control	2.8	111	25.2	2.5	4	40.1	2	3
9	Line_9	France	Control	3	94	31.9	2.1	7.2	44.2	7	5
10	Line_10	France	Control	3.6	109	33	2.2	6.8	94.9	3	4
11	Line_11	France	Control	3.8	231	16.5	2.1	3.7	66.8	4	2
12	Line_12	France	Control	4.1	168	24.4	2.5	3.9	82.1	2	5
13	Line_13	France	Control	4.2	208	20.2	1.6	7.9	76.8	6	5
14	Line_14	France	Control	5.4	114	47.4	3.1	4.9	45.1	2	1
15	Line_15	France	Control	5.7	160	35.6	2.4	6.2	82.9	3	5
16	Line_16	France	Control	5.8	224	25.9	2.8	3.3	67.4	6	2
17	Line_17	France	Control	6.2	107	57.9	2.9	6.9	45.5	2	3
18	Line_18	France	Control	6.2	141	44	2.9	5.2	52.9	1	5
19	Line_19	Britain	Control	6.4	142	45.1	2.9	5.4	42.3	7	2
20	Line_20	Britain	Control	7.3	238	30.7	3	3.4	83.8	5	3
21	Line_21	Britain	Control	7.3	157	46.5	2.6	6.9	33.6	4	3
22	Line_22	Britain	Control	10.5	186	56.5	2.6	8.4	79.2	8	3
23	Line_23	Britain	Control	11.6	211	55	3.7	4	81.5	4	5
24	Line_24	Britain	Control	NA	NA	NA	1.8	NA	78.2	12	3
25	Line_25	Britain	Control	NA	NA	NA	NA	NA	47.4	3	2
26	Line_26	Britain	Control	NA	NA	NA	NA	NA	88.2	7	2
27	Line_1	Germany	Higher	1.1	102	10.8	2.5	1.7	61.5	6	5
28	Line_2	Germany	Higher	2.1	156	13.5	1.5	6	96.9	7	5
29	Line_3	Germany	Higher	2.8	130	21.5	2.1	4.9	70.2	5	5
30	Line_4	Germany	Higher	2.8	223	12.6	1.5	5.6	81.8	3	5
31	Line_5	Germany	Higher	3.1	89	34.8	2.7	4.8	75.1	4	5
32	Line_6	Germany	Higher	3.7	146	25.3	2.5	4.1	77.9	4	5
33	Line_7	Germany	Higher	3.7	173	21.4	2.7	2.9	63.2	10	3
34	Line_8	Germany	Higher	4	179	22.3	2.3	4.2	77.6	3	5
35	Line_9	France	Higher	5	137	36.5	3.1	3.8	84.2	8	3
36	Line_10	France	Higher	5.4	182	29.7	2.6	4.4	75.4	5	5
37	Line_11	France	Higher	5.6	152	36.8	2.4	6.4	99.3	3	5
38	Line_12	France	Higher	5.8	211	27.5	2.8	3.5	87	7	5
39	Line_13	France	Higher	6.6	163	40.5	2.9	4.8	87.2	2	3
40	Line_14	France	Higher	6.8	199	34.2	2.8	4.4	73.7	3	3
41	Line_15	France	Higher	7	151	46.4	2.7	6.4	94	6	5
42	Line_16	France	Higher	7.6	168	45.2	3	5	93.9	5	3
43	Line_17	France	Higher	7.7	242	31.8	2.4	5.5	82.4	7	5
44	Line_18	France	Higher	8.4	271	31	2.9	3.7	87.3	6	4
45	Line_19	Britain	Higher	8.7	206	42.2	2.6	6.2	88.7	10	3
46	Line_20	Britain	Higher	9.2	198	46.5	2.6	6.9	84.7	2	4
47	Line_21	Britain	Higher	9.2	219	42	3.2	4.1	65	6	3
48	Line_22	Britain	Higher	9.8	203	48.3	3.2	4.7	97.8	11	3
49	Line_23	Britain	Higher	10.7	279	38.4	3.1	4	88.2	5	3
50	Line_24	Britain	Higher	10.7	263	40.7	2.9	4.8	87.8	4	5
51	Line_25	Britain	Higher	11.2	190	58.9	2.8	7.5	89.1	4	3
52	Line_26	Britain	Higher	NA	142	NA	6	NA	77.5	6	5
53	Line_27	Britain	Higher	NA	NA	NA	NA	NA	96.5	4	5
54	Line_1	Germany	Lower	0.6	39	15.4	2.4	2.7	47.4	1	3
55	Line_2	Germany	Lower	0.8	77	10.4	2.8	1.3	34.2	2	5
56	Line_3	Germany	Lower	1.4	90	15.6	2.1	3.5	55.2	2	4
57	Line_4	Germany	Lower	1.9	84	22.6	1.9	6.3	37.1	8	3
58	Line_5	Germany	Lower	2	53	37.7	2.4	6.6	55.1	2	2
59	Line_6	Germany	Lower	2.1	131	16	1.8	4.9	64.4	1	4
60	Line_7	Germany	Lower	2.2	100	22	2.1	5	29.9	5	5
61	Line_8	Germany	Lower	2.3	110	20.9	2.1	4.7	33.7	7	2
62	Line_9	France	Lower	2.6	140	18.6	2	4.6	29.2	8	3
63	Line_10	France	Lower	2.7	89	30.3	3.1	3.2	37	3	3
64	Line_11	France	Lower	2.9	139	20.9	2.5	3.3	43.4	5	4
65	Line_12	France	Lower	3	125	24	2.2	5	52.1	1	4
66	Line_13	France	Lower	3.2	112	28.6	2.4	5	49.8	3	2
67	Line_14	France	Lower	3.4	162	21	3	2.3	41.2	2	1
68	Line_15	France	Lower	3.8	89	42.7	2.3	8.1	52.7	2	3
69	Line_16	France	Lower	4	113	35.4	2.8	4.5	40.6	3	3
70	Line_17	France	Lower	4.2	93	45.2	3.1	4.7	64.4	3	3
71	Line_18	France	Lower	4.4	103	42.7	2.6	6.3	43.2	3	4
72	Line_19	Britain	Lower	5	147	34	3	3.8	51.6	1	5
73	Line_20	Britain	Lower	5	130	38.5	2.5	6.2	50.9	1	3
74	Line_21	Britain	Lower	5.4	123	43.9	2.7	6	57.6	1	3
75	Line_22	Britain	Lower	6.1	128	47.7	3.3	4.4	37.4	1	3
76	Line_23	Britain	Lower	7.7	155	49.7	3.2	4.9	44.8	8	3
77	Line_24	Britain	Lower	NA	NA	NA	NA	NA	46	3	4
78	Line_25	Britain	Lower	NA	NA	NA	NA	NA	54.6	3	2
