	Country	GY	SY	TKW	SDW	SDL	STM	SPK	TKW_M	SDW_M	SDL_M	Tiller	Leaf
Gen_1	Germany	5.1	130	39.6	3.5	6	62.1	11.3	45.3	4.2	6.4	3	4
Gen_2	Germany	5.7	168	34.2	3.6	6.6	68.7	12.4	44	4.2	6.3	11	3
Gen_3	Germany	4.8	182	26.6	3	6.5	47.4	14	32.8	3.8	6.5	4	3
Gen_4	Germany	2.1	46	44.6	3.4	6.5	55.1	10.9	17.2	NA	6.8	5	4
Gen_5	Germany	7.7	220	34.9	2.9	5.8	66.8	11.8	39.9	3.1	6.3	3	4
Gen_6	Germany	8.3	200	41.4	3.7	6.6	62.8	11.1	43.2	4.1	6.8	4	2
Gen_7	Germany	4.1	118	34.5	3.5	6.3	71.9	11.6	49.5	3.5	7.1	4	4
Gen_8	Germany	5.8	173	33.6	3.2	6.6	66	13.1	38.1	3.5	6.5	7	4
Gen_9	Germany	1.1	59	17.9	2.5	6.6	43.5	13	45.3	3.8	7.1	5	4
Gen_10	Germany	5.4	154	35.1	3.6	6.5	78.8	12.8	42.8	3.6	6.8	3	4
Gen_11	Germany	3	97	31.4	3.4	6.6	63.2	14	47.4	4.5	7.2	5	3
Gen_12	Germany	NA	NA	NA	NA	NA	67.2	11	NA	NA	NA	5	4
Gen_13	Germany	5.4	141	38.5	3.6	6.5	56.4	11.9	44.1	3.8	6.6	3	4
Gen_14	Germany	5.2	159	32.9	3.2	5.9	64.7	11.8	39.5	3.3	6.2	4	4
Gen_15	France	4.6	114	40.1	3.2	6.5	77.3	12.7	46.2	3.6	7	3	4
Gen_16	France	7.8	163	48	4.2	6.8	76.8	11.8	57.5	4.3	7.4	4	4
Gen_17	France	6.2	168	37	3	6.4	56.8	11.4	44.1	4	5.9	4	3
Gen_18	France	5.6	124	45.4	3.9	5.7	68.2	10.4	52.3	4.2	6.5	2	4
Gen_19	France	4.6	126	36.7	4	7	74.9	14	47.9	4.4	7.1	4	4
Gen_20	France	NA	100	NA	4	6.8	57.5	10.9	38.6	4	6.6	6	5
Gen_21	France	5.5	143	38.5	3.6	6.2	62.2	10.7	46.5	4.3	6.7	4	3
Gen_22	France	4.7	121	39	3.6	6.5	62.9	13.5	44.9	3.8	7	2	3
Gen_23	France	5.2	149	34.9	3.2	6.3	69.1	12.3	39.5	3.2	6.7	6	3
Gen_24	France	NA	NA	22.6	2.8	5.5	58.2	13.4	30.1	3.5	6.1	12	4
Gen_25	France	5.8	191	30.5	3.7	6.2	47.8	12.7	36	3.4	7	5	4
Gen_26	France	5	138	36.4	3.3	6	57.6	11.4	39.5	3.8	6	3	4
